wai_gi,hip_gi,ank_gi,kne_gi,thi_gi,cal_gi
88.8,103.8,24.4,38.4,61,39.5
103.6,100.6,23.9,37.8,55.3,37.9
98.5,103.6,24.3,38.7,57.5,36.7
82.9,91.2,21.2,33.9,51.7,33.4
90.5,95.2,23.7,32.5,52.4,36.5
84.5,98.2,22,36,53.7,36.3
86,97.1,22.6,35.7,53.1,36.6
84.2,97.5,22,34.2,58.8,34.8
85.7,94.9,22,34.4,51.7,32.6
112.1,106.3,22.7,37.3,56.9,36.6
99.7,105.8,25.7,39,57.8,41.2
84.7,96.7,23.5,36.6,54.6,35
80.3,96.4,25.6,38.4,53.8,37
98.6,118.7,25.7,37.5,70,39.2
90,104.3,24.3,37.4,63.5,37.3
86.6,95.9,21.7,35,53.6,34.1
80.2,89.2,23,35.4,48.5,32.3
109.2,101.7,24.3,39.3,56.4,38.5
88.4,95.1,22,34.5,52.5,34
81,105,21.3,38.5,56,36.9
88.8,101.3,23,40.6,62.5,39.2
78.1,92,22,36.4,56.5,37
81.5,89.5,22.4,36,52,35
87.6,100.5,22.9,40.7,60.7,38.4
92.5,94,21.8,36.5,55,37
97,104.5,24,40,56.6,38.5
82,98,23.6,38,59,42
99.5,107.4,25.7,42.9,60.5,38.7
93.8,112.2,26.9,45.7,66.2,43.6
79.1,94.3,22.5,36.1,51,32.7
85.8,106.8,26.2,37.5,60.6,41.8
90.8,100.3,23.4,37.5,56.5,36.3
85.4,101.8,23.7,39.4,57,37.1
91.6,106.7,27.7,41.8,57.8,41.5
79.7,98.4,25.3,38,58.1,38.1
86.1,101.3,25.2,37.7,56,38.3
113.2,107.9,24.1,37.8,57.7,37.4
79.5,92.7,20.3,33.9,51.8,28.9
85.4,94.3,24.5,37.4,52.7,34.4
97.9,104.6,22.6,37.7,60.8,39.4
94.7,103.3,25.5,39.9,58,39.6
86.1,96.7,22.5,37.3,55.2,34.8
84.9,97.9,21.3,37.5,51.8,36
92.2,97.5,23.3,36,53.7,37.5
83.7,97.7,22.7,35.4,53.3,37
97.8,102.5,23,39,58,38.1
98.6,103.3,23.5,35.9,55.3,36
89.5,100.9,22.1,35.9,54.9,33.6
82.9,94.8,21.4,33.4,51.9,32.8
90.1,96.6,22.5,35.6,55,37.9
78.9,98.1,23.4,37.2,55.7,36.8
80.7,95.5,23.3,35,56.8,34.3
94.3,100.4,22.6,35.5,59.1,35.9
70.2,92,23.7,33.2,51.7,34.9
83.6,101.5,25.5,36.7,59.5,38.3
91.9,103.3,25.1,34.6,57.7,38.8
71.8,87.6,23.1,34.1,50.1,33.4
85,97.9,23.5,34.9,55.2,37.3
85.7,95.9,21.1,35,50.9,34.3
96.5,111.8,24.3,41.7,62.3,37
82.4,99.9,25.4,38.4,63.3,39.8
86.3,103.3,27.7,39.3,59.7,42
83.2,100.6,25.2,36.3,57.8,39.6
