wai_gi,hip_gi,ank_gi,kne_gi,thi_gi,cal_gi,labels
80.3,93.0,20.3,36.0,55.4,37.8,1
81.5,92.0,21.1,35.1,54.1,35.2,2
74.0,91.3,21.2,36.6,53.5,38.6,1
104.0,111.7,24.6,41.2,63.2,39.3,3
76.2,92.8,22.7,36.8,55.2,37.7,1
76.5,91.2,21.5,35.5,54.2,35.3,2
81.0,96.2,24.0,37.0,56.0,35.5,1
88.8,100.0,23.2,38.0,61.0,39.4,0
94.0,108.2,25.3,39.5,66.8,43.0,3
83.4,101.1,24.0,39.4,61.3,41.8,3
77.0,93.0,22.5,38.4,51.7,38.5,1
75.4,88.6,21.2,33.8,50.0,32.5,2
80.3,92.8,21.0,36.5,53.9,35.0,1
68.0,81.5,20.9,34.0,49.5,34.5,2
80.6,91.3,20.8,35.5,55.0,34.0,2
88.6,94.7,26.3,40.3,58.3,39.7,3
81.1,93.9,23.1,35.0,53.5,37.3,1
70.8,89.4,21.3,38.5,55.8,34.2,1
73.3,89.3,22.3,34.3,55.4,34.3,2
75.9,92.6,23.0,34.8,54.4,35.5,1
86.2,96.3,23.0,38.3,59.1,34.7,0
75.0,88.0,23.0,34.5,53.8,33.5,2
101.0,105.5,25.6,39.5,60.2,39.4,3
90.0,102.3,23.7,38.2,60.0,38.3,0
75.9,93.4,24.5,37.0,55.0,37.7,1
96.0,103.6,25.1,41.2,62.2,39.4,3
84.0,94.8,22.8,38.6,57.6,38.2,0
67.1,85.9,20.0,32.7,46.8,32.1,2
82.5,98.4,24.6,37.8,57.7,38.3,0
83.7,98.4,25.8,38.0,56.2,39.6,0
76.7,93.3,20.6,34.7,56.0,34.6,2
90.6,97.7,22.2,34.1,58.0,35.8,1
85.7,98.6,23.0,39.3,55.5,35.9,0
82.5,94.9,27.5,39.2,54.4,37.0,0
94.7,101.3,24.2,40.5,60.1,40.0,3
105.2,108.1,21.6,36.9,60.5,37.7,0
86.0,98.0,25.8,38.3,59.5,39.0,0
90.9,100.2,23.2,38.1,51.8,36.4,0
92.4,97.0,23.4,37.7,50.9,37.7,0
96.5,97.4,24.5,37.7,54.3,39.3,0
76.7,93.9,23.2,36.1,50.4,32.9,2
94.8,98.6,24.6,37.7,48.3,36.8,0
80.1,91.3,23.0,36.2,56.2,33.0,1
97.4,105.3,22.9,38.2,55.6,36.6,0
73.7,88.2,21.2,35.2,52.3,36.2,2
76.1,93.3,23.6,36.8,51.7,37.7,1
95.6,107.9,24.7,41.8,64.6,39.6,3
101.0,103.3,25.0,39.7,54.4,41.8,3
84.5,94.4,25.0,38.5,54.7,37.6,0
98.0,101.5,24.9,37.7,56.9,39.2,0
101.6,110.0,23.7,40.3,57.8,40.0,3
87.8,98.4,24.5,38.2,55.6,37.7,0
80.0,95.0,22.9,36.9,52.0,36.4,1
81.8,98.3,22.0,35.0,56.3,33.0,1
84.4,99.0,21.3,36.1,55.0,38.4,1
85.0,95.7,23.8,37.9,59.0,37.7,0
90.0,96.0,23.0,36.0,52.5,36.9,1
72.9,89.5,22.1,32.6,51.0,33.1,2
81.0,93.7,22.7,36.9,54.8,37.3,1
86.5,97.0,22.5,38.0,57.0,37.0,0
93.9,103.6,24.6,40.9,60.5,40.8,3
77.0,93.0,20.0,34.4,52.0,34.4,2
75.0,90.0,22.0,33.8,50.6,34.0,2
80.6,90.0,23.0,34.6,55.5,37.4,1
100.5,109.5,25.4,41.0,61.8,39.7,3
81.2,91.6,23.1,35.2,51.5,35.5,2
103.4,108.5,24.8,42.3,60.5,40.8,3
90.3,101.6,24.9,40.4,57.2,37.8,3
98.0,99.6,26.1,40.9,56.7,42.1,3
86.5,91.9,24.0,38.3,55.0,37.8,0
77.9,90.8,21.0,35.5,50.8,35.0,2
85.3,96.5,21.6,36.8,57.0,36.0,1
98.5,108.1,26.4,41.9,61.3,42.1,3
79.5,95.3,22.8,36.6,54.8,36.2,1
94.9,104.3,23.2,37.7,59.0,36.8,0
76.5,96.3,23.8,36.4,54.2,38.2,1
88.4,98.8,23.7,37.7,54.8,37.0,0
84.2,93.2,22.8,35.6,55.0,36.4,1
87.6,106.7,25.8,39.0,60.9,42.6,3
92.1,103.8,22.6,37.1,56.6,37.4,0
89.9,107.1,22.0,36.6,59.2,32.3,0
88.7,100.0,26.4,40.9,57.5,38.8,3
83.9,103.9,24.3,37.0,59.8,36.5,0
79.5,95.3,21.8,35.6,52.5,35.1,1
84.5,99.5,24.5,36.5,59.2,38.5,0
89.2,107.0,23.0,37.0,56.9,37.6,0
90.7,101.7,24.2,36.9,58.0,38.9,0
88.8,103.8,24.4,38.4,61.0,39.5,3
103.6,100.6,23.9,37.8,55.3,37.9,0
98.5,103.6,24.3,38.7,57.5,36.7,0
82.9,91.2,21.2,33.9,51.7,33.4,2
90.5,95.2,23.7,32.5,52.4,36.5,1
84.5,98.2,22.0,36.0,53.7,36.3,1
86.0,97.1,22.6,35.7,53.1,36.6,1
84.2,97.5,22.0,34.2,58.8,34.8,1
85.7,94.9,22.0,34.4,51.7,32.6,2
99.7,105.8,25.7,39.0,57.8,41.2,3
84.7,96.7,23.5,36.6,54.6,35.0,1
80.3,96.4,25.6,38.4,53.8,37.0,0
90.0,104.3,24.3,37.4,63.5,37.3,0
86.6,95.9,21.7,35.0,53.6,34.1,1
80.2,89.2,23.0,35.4,48.5,32.3,2
88.4,95.1,22.0,34.5,52.5,34.0,1
81.0,105.0,21.3,38.5,56.0,36.9,0
88.8,101.3,23.0,40.6,62.5,39.2,3
78.1,92.0,22.0,36.4,56.5,37.0,1
81.5,89.5,22.4,36.0,52.0,35.0,2
87.6,100.5,22.9,40.7,60.7,38.4,0
92.5,94.0,21.8,36.5,55.0,37.0,1
97.0,104.5,24.0,40.0,56.6,38.5,3
82.0,98.0,23.6,38.0,59.0,42.0,0
79.1,94.3,22.5,36.1,51.0,32.7,2
85.8,106.8,26.2,37.5,60.6,41.8,3
90.8,100.3,23.4,37.5,56.5,36.3,0
85.4,101.8,23.7,39.4,57.0,37.1,0
79.7,98.4,25.3,38.0,58.1,38.1,0
86.1,101.3,25.2,37.7,56.0,38.3,0
85.4,94.3,24.5,37.4,52.7,34.4,1
97.9,104.6,22.6,37.7,60.8,39.4,0
94.7,103.3,25.5,39.9,58.0,39.6,3
86.1,96.7,22.5,37.3,55.2,34.8,1
84.9,97.9,21.3,37.5,51.8,36.0,1
92.2,97.5,23.3,36.0,53.7,37.5,0
83.7,97.7,22.7,35.4,53.3,37.0,1
97.8,102.5,23.0,39.0,58.0,38.1,0
98.6,103.3,23.5,35.9,55.3,36.0,0
89.5,100.9,22.1,35.9,54.9,33.6,1
82.9,94.8,21.4,33.4,51.9,32.8,2
90.1,96.6,22.5,35.6,55.0,37.9,1
78.9,98.1,23.4,37.2,55.7,36.8,1
80.7,95.5,23.3,35.0,56.8,34.3,1
94.3,100.4,22.6,35.5,59.1,35.9,0
70.2,92.0,23.7,33.2,51.7,34.9,2
83.6,101.5,25.5,36.7,59.5,38.3,0
91.9,103.3,25.1,34.6,57.7,38.8,0
71.8,87.6,23.1,34.1,50.1,33.4,2
85.0,97.9,23.5,34.9,55.2,37.3,1
85.7,95.9,21.1,35.0,50.9,34.3,2
96.5,111.8,24.3,41.7,62.3,37.0,3
82.4,99.9,25.4,38.4,63.3,39.8,3
83.2,100.6,25.2,36.3,57.8,39.6,0
