wai_gi,hip_gi,ank_gi,kne_gi,thi_gi,cal_gi,labels
78.0,103.0,21.8,35.2,64.8,36.7,1
62.0,86.8,20.2,34.2,52.6,34.8,0
65.8,89.3,22.1,36.8,57.4,36.2,2
65.0,89.5,21.4,34.0,53.4,33.9,3
64.9,88.4,19.1,30.9,53.4,32.6,0
71.5,100.5,21.8,36.6,60.4,36.4,2
61.4,94.0,21.0,35.4,56.4,34.8,3
75.4,101.3,21.7,37.6,63.1,34.3,1
67.2,95.5,22.2,36.0,54.7,35.4,2
69.5,95.3,21.8,35.2,57.6,35.4,2
57.9,84.1,19.6,33.6,49.0,33.0,0
64.4,91.0,19.4,32.7,53.4,33.0,0
62.3,83.9,21.0,32.4,52.8,32.5,0
68.7,93.1,21.5,34.6,55.2,34.3,3
68.0,92.3,21.6,34.5,55.4,35.3,3
66.0,97.1,23.2,37.2,59.0,39.0,2
71.2,97.5,20.4,34.2,58.2,34.0,3
64.8,92.0,20.4,31.0,57.4,35.2,3
60.7,89.9,19.0,34.2,53.3,32.2,0
75.0,104.9,22.0,37.6,63.2,36.6,1
68.6,94.2,19.9,32.2,58.0,35.9,3
67.1,90.4,23.8,35.9,53.2,36.6,2
71.0,98.7,20.8,35.6,59.2,35.8,2
76.0,103.5,21.8,39.2,64.8,37.0,1
70.3,100.0,23.0,37.0,59.6,37.0,2
69.5,95.2,21.3,35.4,56.2,34.0,3
67.2,91.2,20.3,34.6,53.6,34.2,3
68.7,93.8,22.0,35.9,58.0,37.4,2
66.0,92.0,21.0,35.4,56.2,35.6,3
67.5,85.8,20.0,33.0,53.8,33.0,0
65.2,95.4,23.2,37.5,58.5,38.4,2
64.2,88.4,20.5,33.9,56.0,33.2,0
60.2,91.7,21.2,36.0,53.3,35.8,3
62.6,87.4,20.7,34.5,54.0,33.0,0
72.7,95.9,22.4,36.8,56.6,37.6,2
58.5,84.3,20.1,31.7,52.2,32.0,0
67.5,96.5,21.8,35.6,56.3,33.5,3
66.1,91.8,20.2,35.0,54.4,33.0,3
68.0,101.0,21.6,36.1,59.6,35.1,2
64.0,92.6,18.9,32.7,54.8,31.5,0
64.1,96.0,21.0,35.2,53.7,35.0,3
72.4,89.9,21.3,33.2,52.6,34.4,3
71.0,92.7,19.8,34.2,57.3,34.0,3
69.1,94.1,20.0,35.0,56.2,34.4,3
66.1,93.8,22.0,35.3,54.2,33.7,3
71.5,96.0,21.1,33.8,56.9,33.5,3
65.0,84.9,18.8,31.6,50.8,31.6,0
71.5,97.5,20.4,39.1,63.0,38.2,1
63.0,86.0,20.4,30.0,53.0,31.2,0
70.0,96.8,21.7,35.8,59.8,35.0,2
70.4,93.5,19.0,33.1,57.5,32.8,3
64.3,93.0,22.0,35.6,55.6,35.5,3
66.0,90.2,21.4,34.7,54.8,34.5,3
70.5,91.9,20.4,35.8,56.8,36.9,3
62.0,88.5,19.4,33.5,53.6,33.0,0
67.6,90.2,20.6,34.1,56.4,33.8,3
65.0,97.6,20.6,38.6,62.2,37.4,2
64.0,95.0,20.3,32.3,55.9,34.8,3
70.5,98.0,20.1,35.6,61.4,30.5,3
79.2,97.4,23.8,36.0,61.7,35.7,1
71.1,98.2,20.7,34.3,55.3,36.6,3
74.7,100.0,20.9,35.7,59.4,34.0,1
62.9,95.5,20.4,34.6,52.8,32.3,0
70.6,101.9,19.9,37.2,62.0,33.1,1
61.6,87.6,20.3,32.4,51.6,32.9,0
65.5,90.4,21.5,34.2,53.3,33.4,3
67.7,92.0,18.8,33.0,54.3,32.7,0
72.9,102.2,21.0,33.8,60.1,33.5,3
72.1,106.7,23.5,34.6,62.0,35.6,1
60.7,89.1,21.2,32.5,52.6,34.6,0
69.2,93.0,21.9,35.5,53.9,33.1,3
75.5,98.6,20.3,37.2,62.7,35.4,1
71.6,95.0,20.1,36.2,56.8,35.8,3
75.5,100.2,22.5,37.3,57.8,37.0,1
73.7,101.2,21.2,33.9,57.4,33.3,3
67.9,100.8,22.2,36.6,60.2,38.5,2
71.2,96.5,21.0,33.7,52.4,32.1,3
69.3,93.2,21.5,34.8,55.4,34.6,3
75.6,95.8,19.9,34.6,58.5,32.6,3
63.8,97.6,22.6,35.9,59.0,35.5,2
66.0,94.3,21.0,32.1,56.4,34.3,3
68.3,96.5,21.8,33.9,55.1,33.7,3
63.8,94.0,22.1,33.1,56.1,35.2,3
76.3,98.6,20.3,32.3,55.5,31.3,3
58.8,89.3,21.0,33.8,51.6,32.4,0
78.0,106.9,22.8,38.5,65.5,39.7,1
64.5,91.9,21.4,34.6,53.4,32.7,3
65.8,89.1,19.7,33.6,55.4,35.0,0
62.5,95.5,20.4,35.1,57.3,35.7,3
77.5,101.1,21.9,36.5,61.6,34.6,1
70.0,98.9,22.5,35.6,55.0,36.6,2
59.4,83.3,20.5,31.7,50.2,30.7,0
68.3,94.0,21.7,32.7,57.3,34.3,3
77.9,100.1,20.9,34.7,60.7,34.5,1
68.3,93.8,19.6,32.7,54.7,33.0,0
72.0,103.9,23.4,36.3,57.5,37.9,2
62.7,93.5,22.0,32.8,52.5,36.1,3
58.0,90.2,20.3,35.5,52.5,36.4,0
72.7,100.2,20.5,36.3,57.9,34.3,3
67.3,97.6,21.0,38.3,58.8,35.6,2
70.8,96.9,20.3,36.5,57.9,35.3,3
67.4,90.3,18.7,32.8,54.7,29.5,0
66.0,94.8,19.2,32.2,57.4,32.6,0
63.6,92.7,20.2,33.5,54.4,33.6,0
73.6,94.7,19.3,31.6,52.9,30.2,0
66.9,90.6,20.8,33.9,54.4,33.9,3
65.5,90.8,20.7,33.1,56.4,35.0,3
70.4,96.7,23.0,35.3,55.6,33.8,3
80.3,101.2,20.0,34.6,61.2,35.6,1
65.0,94.7,22.5,34.7,54.8,34.8,3
60.4,87.0,18.8,33.2,49.5,31.5,0
75.3,103.6,21.1,35.7,59.9,35.8,1
70.1,97.6,21.1,34.9,55.6,32.0,3
69.8,100.2,19.6,33.5,59.0,33.1,3
66.4,91.6,20.2,33.0,54.6,34.3,3
61.7,94.7,22.0,36.7,56.5,36.2,2
76.4,107.0,23.9,36.5,64.5,36.2,1
63.8,86.3,21.0,32.0,51.5,32.6,0
70.2,97.8,21.4,35.5,58.5,36.3,2
75.8,103.3,21.8,36.8,60.5,35.9,1
81.5,94.9,21.8,34.4,54.8,37.3,2
67.4,95.1,23.7,36.2,56.3,36.7,2
78.3,104.9,23.0,39.4,63.1,39.1,1
65.9,96.3,21.7,35.6,57.0,34.0,3
62.4,90.4,19.2,34.5,53.2,31.0,0
65.6,92.8,21.7,33.0,56.2,34.6,3
62.5,87.6,18.5,31.7,51.6,34.7,0
80.5,107.2,22.2,38.8,63.0,38.2,1
71.3,94.0,21.2,35.9,59.2,34.4,3
79.4,102.7,21.3,38.7,63.0,36.3,1
72.3,92.0,20.5,35.0,54.7,34.2,3
67.4,98.4,22.5,35.6,59.1,37.4,2
67.0,96.7,21.6,37.0,56.2,33.0,3
69.5,90.6,19.9,33.9,51.7,30.8,0
66.4,92.0,21.7,32.5,53.4,31.7,0
67.6,90.4,21.7,34.5,52.4,32.5,3
66.6,96.7,21.4,36.0,59.3,34.9,2
69.7,94.9,23.7,37.7,59.1,37.7,2
72.0,95.5,19.6,35.2,57.3,31.9,3
64.5,88.4,20.3,34.5,52.4,32.7,0
72.3,97.8,21.6,39.9,59.1,39.7,2
69.1,95.4,23.0,35.6,59.5,34.6,2
74.7,97.7,20.9,34.4,57.0,32.7,3
60.8,84.6,21.0,34.4,51.0,33.1,0
66.9,91.6,22.4,35.0,53.4,35.2,3
68.8,103.3,21.0,34.4,63.0,35.0,1
63.7,96.3,21.3,36.5,55.5,34.1,3
71.2,93.5,22.6,37.0,56.1,37.5,2
77.9,96.3,22.3,38.2,56.2,36.6,2
69.6,98.3,20.8,32.3,56.3,33.8,3
69.9,101.0,22.4,37.7,60.6,37.9,2
63.5,89.5,22.4,35.6,55.2,33.3,3
57.9,86.9,21.2,34.4,51.8,34.1,0
72.2,98.6,22.0,38.4,59.0,36.6,2
80.4,102.2,23.0,39.6,57.4,35.9,1
