sho_gi,che_gi,wai_gi,nav_gi,labels
116.0,99.0,75.0,75.0,0
108.3,89.7,80.6,80.8,3
129.2,111.5,100.5,107.3,1
109.2,94.1,81.2,84.0,0
124.3,118.3,103.4,106.2,1
122.6,106.5,90.3,101.1,1
122.4,110.4,98.0,98.0,1
114.9,102.3,86.5,87.7,2
111.1,98.5,77.9,87.3,0
126.0,111.6,89.1,95.1,1
124.7,110.4,85.3,82.9,2
125.3,114.0,98.5,103.8,1
118.2,101.8,79.5,90.1,2
124.3,109.6,94.9,94.7,1
118.3,100.7,76.5,87.2,0
122.3,104.3,88.4,89.6,2
116.5,104.2,84.2,84.0,2
123.0,107.4,87.6,89.4,2
117.6,101.0,83.7,91.1,2
117.5,103.0,92.1,91.3,2
117.3,107.2,89.9,94.7,2
114.5,99.0,88.7,91.0,2
122.9,100.3,83.9,89.4,2
115.5,100.2,79.5,88.7,0
116.1,99.8,84.5,92.6,2
121.6,107.5,89.2,88.4,2
131.6,110.1,90.7,91.9,1
124.5,107.0,88.8,97.5,1
115.6,105.6,103.6,100.7,1
117.0,103.6,98.5,99.9,1
108.6,97.1,82.9,88.1,0
120.2,109.8,90.5,92.3,2
116.2,103.3,84.5,94.5,2
115.4,103.7,86.0,93.8,2
120.0,108.5,84.2,88.9,2
110.3,97.8,85.7,89.5,0
123.5,111.4,99.7,102.9,1
107.8,95.1,84.7,92.9,0
118.7,100.2,80.3,92.4,2
118.7,109.5,90.0,96.2,1
118.0,106.3,86.6,93.9,2
105.0,91.5,80.2,85.7,3
123.1,109.6,88.4,92.0,2
121.0,102.5,81.0,84.5,2
111.7,101.2,88.8,90.8,2
111.0,98.7,78.1,78.6,0
112.0,96.0,81.5,80.5,0
115.9,104.2,87.6,89.6,2
121.0,103.0,92.5,88.5,2
123.6,107.0,97.0,95.5,1
120.0,101.0,82.0,82.0,0
128.7,112.1,99.5,97.8,1
124.5,103.4,93.8,92.7,1
112.4,100.3,79.1,80.4,0
112.2,95.7,85.8,94.7,2
127.0,108.0,90.8,92.4,1
115.3,101.0,85.4,86.9,2
111.5,98.6,91.6,102.1,2
118.3,101.6,79.7,82.0,0
118.0,99.0,86.1,90.8,2
124.4,105.0,79.5,85.8,2
112.4,95.1,85.4,84.1,0
125.8,106.7,97.9,94.7,1
131.7,116.6,94.7,93.1,1
117.3,103.5,86.1,90.5,2
107.6,90.4,84.9,83.7,3
122.4,107.5,92.2,88.6,2
117.0,100.8,83.7,82.5,0
119.0,104.2,97.8,93.6,1
123.5,104.9,98.6,99.2,1
121.4,112.8,89.5,96.9,1
112.3,95.7,82.9,89.6,0
113.2,104.9,90.1,90.8,2
121.7,109.1,78.9,91.0,2
116.6,105.4,80.7,87.4,2
117.8,104.3,94.3,99.4,1
118.0,100.5,70.2,79.3,0
131.1,111.8,83.6,92.7,1
121.4,109.5,91.9,96.5,1
116.3,101.2,71.8,82.3,0
121.8,103.3,85.0,90.8,2
118.2,101.6,85.7,91.0,2
126.3,103.1,96.5,99.0,1
121.0,104.6,82.4,85.7,2
123.1,104.3,86.3,87.8,2
114.9,95.9,83.2,88.0,0
